FE,SIO2,AL2O3,P
61.03,2.9,0.76,0.04
60.59,3.01,0.85,0.04
61.35,2.85,0.97,0.04
55.4,7.48,1.23,0.03
62.58,2.61,1.06,0.04
61.27,2.95,1.26,0.05
61.97,3.18,1.2,0.04
60.34,3.02,1.75,0.1
60.05,2.74,1.57,0.07
60.84,2.45,1.33,0.08
60.45,2.96,1.57,0.07
60.57,2.42,1.51,0.07
61.56,2.04,1.15,0.06
60.67,3.03,1.6,0.07
58.1,4.26,3.01,0.08
60.12,2.88,1.31,0.07
63.47,1.91,0.92,0.05
62.21,1.95,0.96,0.06
62.12,1.88,0.99,0.05
62.12,2.44,1.28,0.06
63.14,1.86,1.04,0.06
62.05,2.09,1.3,0.06
62.7,1.89,1.17,0.06
62.67,1.88,1.08,0.05
61.24,2.63,1.2,0.05
61.82,2.48,1.18,0.04
59.4,3.72,1.47,0.05
59.91,4.92,1.17,0.04
59.94,4.04,1.17,0.03
61.56,2.16,1.2,0.1
60.26,2.37,1.33,0.08
59.82,2.32,1.16,0.08
59.24,2.48,1.46,0.07
59.21,2.31,1.6,0.07
59.32,2.39,1.87,0.07
60.22,2.19,1.43,0.07
58.58,2.72,1.73,0.07
58.68,3.26,1.6,0.06
57.17,3.99,2.38,0.07
58.27,3.26,2.01,0.09
61.03,2.09,1.55,0.07
57.62,2.97,2.27,0.05
58.56,2.76,1.82,0.05
57.51,2.91,2.63,0.07
59.2,2.39,2.12,0.06
61.15,2.27,1.86,0.06
60.1,2.37,1.7,0.05
58.36,3,2.61,0.06
56.53,4.23,3.69,0.05
59.35,2.23,1.41,0.12
60.44,2.06,1.15,0.09
59.9,2.33,1.25,0.09
60.3,2.13,1.34,0.08
60.42,2.15,1.58,0.08
60.63,1.8,1.13,0.07
59.72,1.81,1.16,0.06
59.82,2.06,1.3,0.05
60.17,2.14,1.45,0.05
61.74,1.97,1.11,0.04
61.02,2.16,1.01,0.04
60.78,2.08,1.52,0.05
62.66,1.56,1.11,0.06
62.18,1.77,1.34,0.06
63.17,1.5,0.96,0.04
60.67,2.37,1.62,0.06
62.35,1.57,1.1,0.04
62.07,1.81,1.26,0.04
61.83,1.76,1.01,0.04
62.14,1.7,0.98,0.04
61.95,1.88,1.19,0.04
62.66,1.83,1.16,0.03
62.34,1.69,1.02,0.02
62.06,2.08,1.45,0.03
61.36,2.34,1.57,0.05
62.81,1.93,1.22,0.03
62.63,1.86,1.3,0.03
61.6,2.11,1.23,0.07
61.56,2.23,1.23,0.08
60.3,2.91,1.63,0.07
61.31,2.37,1.33,0.07
60.6,2.82,1.83,0.07
59.54,3.65,1.87,0.06
60.57,2.57,1.63,0.07
61.07,2.63,1.61,0.07
57.2,4.5,3.2,0.07
60.21,2.81,1.51,0.06
63.22,1.78,0.85,0.05
62.59,1.91,1.07,0.05
62.47,2,1.1,0.04
62.44,2.27,1.25,0.05
62.2,2.42,1.47,0.06
61.27,2.55,1.52,0.06
61.87,2.63,1.33,0.06
59.22,3.86,1.84,0.06
60.16,3.53,1.65,0.06
60.72,3.96,1.39,0.04
60.68,2.61,1.52,0.09
60.68,2.61,1.52,0.09
60.48,2.85,1.31,0.08
60.48,2.85,1.31,0.08
60.85,2.2,1.29,0.06
60.85,2.2,1.29,0.06
59.12,3.37,1.52,0.06
59.12,3.37,1.52,0.06
62.6,1.93,0.92,0.05
62.6,1.93,0.92,0.05
62.21,2.52,1.24,0.06
62.21,2.52,1.24,0.06
62.32,1.88,1.16,0.06
62.32,1.88,1.16,0.06
61.54,2.01,1.23,0.05
61.54,2.01,1.23,0.05
60.49,2.78,1.36,0.05
60.49,2.78,1.36,0.05
61.92,2.62,1.35,0.04
61.92,2.62,1.35,0.04
59.66,4.42,1.52,0.06
59.65,4.38,1.39,0.06
58.27,5.71,1.74,0.07
61.07,1.98,1.18,0.06
61.02,2.06,1.2,0.06
61.38,1.75,1.03,0.05
57.98,5.26,1.77,0.07
56.89,4.69,2.79,0.09
61.11,2.28,1.06,0.07
62.8,1.48,0.71,0.05
63.09,1.45,0.65,0.04
61.87,1.72,0.81,0.04
61.28,4.6,0.8,0.05
63.82,1.59,0.7,0.04
62.56,2.27,0.93,0.05
62.79,1.87,0.93,0.05
60.6,4.39,0.95,0.05
60.07,5.34,1.06,0.04
61.3,2.77,1.39,0.05
62.8,1.77,0.96,0.04
61.91,1.85,0.93,0.04
62.14,2.4,0.85,0.04
60.3,4.02,0.93,0.03
61.75,2.64,1.2,0.12
59.07,3.02,1.93,0.1
60.38,2.64,1.61,0.08
59.61,2.92,1.76,0.07
60.31,2.65,1.63,0.07
60.47,2.96,1.65,0.07
57.77,3.87,2.45,0.07
60.09,2.89,1.48,0.07
63.12,1.93,1.04,0.06
61.83,2.32,1.24,0.07
59.61,3.15,1.55,0.07
62.48,1.79,1.03,0.07
61.43,2.23,1.39,0.07
62.29,1.93,1.2,0.06
59.93,2.81,1.98,0.06
61.98,2.03,0.89,0.05
61.6,2.02,1.19,0.06
61.11,2.34,1.14,0.04
61.63,2.47,0.99,0.04
60.3,3.81,0.92,0.03
60.4,2.97,1.11,0.03
59.65,5.22,0.89,0.03
60.96,2.82,1.44,0.04
60.78,3.75,1.39,0.05
60.45,4.11,1.52,0.03
61.41,2.29,1.18,0.06
59.5,3.82,1.76,0.06
60.09,2.51,1.43,0.06
60.36,2.47,1.6,0.07
60.88,2.32,1.37,0.06
59.54,2.78,1.72,0.06
61.14,2.05,1.23,0.05
60.05,2.58,1.28,0.06
60.69,2.41,1.14,0.05
59.25,2.99,1.53,0.06
59.08,3.61,1.53,0.04
60.72,2.16,0.93,0.04
60.76,3.67,0.72,0.05
60.38,5.6,0.84,0.04
62.64,2.7,0.94,0.04
62.28,2.99,1.08,0.04
60.19,2.9,0.9,0.04
60.91,3.97,1.65,0.09
60.54,3.03,1.11,0.1
59.53,2.68,1.2,0.08
60.3,2.3,1.43,0.08
60.26,2.46,1.52,0.08
59.31,2.55,1.69,0.09
59.73,2.49,1.56,0.07
58.18,3.19,1.85,0.09
59.69,2.66,1.54,0.08
61.35,2.05,1.31,0.07
59.23,2.99,1.58,0.07
56.89,6.52,1.73,0.06
56.75,4.41,1.98,0.07
58.34,3.1,2.37,0.05
58.07,2.91,2.66,0.05
60.12,2.17,1.7,0.05
58.99,2.47,1.87,0.04
59.25,2.03,2.21,0.06
59.57,3.64,1.82,0.04
61.56,1.71,1.41,0.04
60.86,2.11,1.63,0.04
60.88,2.81,1.25,0.03
60,3.61,1.78,0.03
58.18,5.32,2.43,0.03
60.93,2.41,1.48,0.03
58.68,3.13,1.67,0.03
59.98,2.89,1.53,0.03
59.29,3.58,1.68,0.02
60.78,2.69,1.23,0.08
61.64,2.33,1.29,0.07
61.24,2.23,1.28,0.08
60.39,2.61,1.54,0.07
61.63,2.09,1.31,0.07
60.7,2.57,1.51,0.06
61.06,2.43,1.67,0.06
59.45,3.27,1.85,0.06
57.63,4.17,2.94,0.08
60.2,2.94,1.58,0.06
62.57,1.82,0.97,0.06
62.54,1.82,0.96,0.06
62.51,1.92,1.06,0.05
60.19,3,1.79,0.05
63.74,1.86,0.94,0.05
61.48,2.55,1.45,0.06
61.85,2.27,1.45,0.06
61.59,2.79,1.75,0.06
61.24,2.52,1.22,0.05
58.32,3.73,1.51,0.04
60.67,2.73,1.31,0.04
61.68,2.06,1.2,0.04
62.17,1.94,1.13,0.03
58.61,3.82,1.35,0.03
60.47,3.83,1.17,0.03
60.78,2.45,1.28,0.03
60.16,3.07,1.43,0.04
58.07,3.59,1.86,0.03
61.59,2.72,1.36,0.06
60.53,3.57,2.05,0.08
59.16,3.23,1.6,0.09
62.28,1.85,1.1,0.07
62.38,1.65,1.06,0.08
61.74,1.94,1.1,0.07
63.32,1.61,0.94,0.05
62.22,1.66,0.94,0.06
63.08,1.54,0.84,0.05
62.86,1.44,0.8,0.06
62.64,1.67,1.15,0.07
62.44,1.7,0.97,0.05
62.61,1.6,0.79,0.04
62.43,1.51,0.72,0.04
62.51,1.7,0.74,0.05
61.34,1.96,0.95,0.04
61.25,2.02,0.86,0.05
63.25,1.58,0.73,0.03
62.8,1.76,0.9,0.03
60.57,3.78,1.03,0.03
61,2.42,1.35,0.04
61.72,2.62,1.35,0.03
59.86,3.53,1.54,0.03
60.95,2.91,2.3,0.09
62.91,2.44,1.45,0.08
61.23,2.22,1.63,0.08
60.21,2.71,1.36,0.09
60.18,2.62,1.4,0.07
60.21,2.57,1.5,0.06
57.79,4.01,2.65,0.08
59.8,2.94,1.43,0.07
62.59,1.93,0.87,0.05
62.16,1.98,0.95,0.06
61.28,2.5,1.25,0.06
58.85,3.66,1.7,0.06
63.7,1.65,0.81,0.05
61.27,2.64,1.45,0.07
61.57,2.22,1.23,0.05
59.39,3.5,1.97,0.05
61.89,2.18,1.11,0.06
60.57,2.7,1.33,0.05
58.89,3.13,1.51,0.06
58.33,4.51,1.29,0.04
60.77,2.68,1.51,0.03
60.83,3.5,0.82,0.03
59.64,4.84,1.25,0.03
59.29,3.65,2.3,0.1
59.29,3.65,2.3,0.1
60.12,2.68,1.54,0.08
60.12,2.68,1.54,0.08
60.22,2.69,1.58,0.07
60.22,2.69,1.58,0.07
60.77,2.37,1.2,0.06
60.77,2.37,1.2,0.06
60.5,2.72,1.41,0.07
60.5,2.72,1.41,0.07
62.69,2.28,1.03,0.05
62.69,2.28,1.03,0.05
59.76,4.36,1.88,0.05
59.76,4.36,1.88,0.05
59.41,4.78,2.49,0.04
59.41,4.78,2.49,0.04
61.23,3.99,1.48,0.04
61.23,3.99,1.48,0.04
59.88,4.85,1.85,0.03
59.88,4.85,1.85,0.03
60.34,2.39,1.54,0.12
60.89,2.81,1.58,0.11
60.44,2.35,1.25,0.11
59.03,2.91,1.68,0.1
59.78,2.73,1.51,0.08
59.71,2.47,1.41,0.07
59.62,2.63,1.65,0.08
61.29,2.07,1.31,0.06
59.22,3.03,1.73,0.06
57.57,3.43,2.06,0.07
61.27,2.1,1.19,0.07
61.73,1.91,1.09,0.07
62.39,1.92,1.18,0.07
61.52,2.24,1.18,0.06
62.78,1.42,0.77,0.06
61.52,2.03,1.42,0.07
62.18,1.84,1.01,0.05
60.34,4.08,1.43,0.05
61.65,3.58,0.96,0.06
58.91,5.94,1.07,0.04
58.23,5.72,1.26,0.03
59.84,4.21,1.08,0.04
60.48,2.94,1.19,0.03
59.48,3.53,1.49,0.03
61.58,2.42,1.05,0.03
59.59,4.22,1.19,0.04
61.06,2.72,1.18,0.04
60.47,4.48,1.48,0.04
58.13,4.89,2.59,0.08
60.73,2.31,1.31,0.07
60.14,2.62,1.37,0.07
59.86,2.49,1.56,0.07
59.7,2.69,1.73,0.07
60.54,2.56,1.62,0.07
61.17,2.31,1.32,0.06
59.96,2.81,1.4,0.06
61.6,2,1.13,0.06
59.98,2.87,1.45,0.06
57.36,3.64,2.62,0.06
58.81,3.42,1.72,0.06
61.5,2.3,1.16,0.05
61.72,2.05,0.95,0.05
60.31,3.05,1.17,0.04
62.41,2.66,1.05,0.05
61.31,3.4,1.2,0.05
58,5.35,1.25,0.04
58.2,3.28,2.23,0.11
58.88,2.8,1.83,0.12
59.37,2.45,1.46,0.1
58.36,3.17,2.2,0.09
59.02,2.75,1.83,0.09
59.61,2.42,1.55,0.08
60.34,2.35,1.6,0.08
58.67,3.32,2.56,0.16
58.66,3.06,2.3,0.09
61.31,1.88,1.53,0.08
61.76,1.66,1.37,0.07
60.01,2.04,1.58,0.08
59.77,2.3,1.8,0.03
57.52,3.67,3.12,0.05
61.22,1.7,0.93,0.04
61.36,1.67,1.31,0.03
58.68,3.36,2.66,0.03
60.79,1.77,1.41,0.02
58.97,2.77,2.05,0.02
60.62,1.96,0.82,0.02
58.46,4.05,2.15,0.08
60.53,2.48,1.28,0.07
59.41,3,1.76,0.07
60.57,2.34,1.27,0.07
60.76,2.52,1.49,0.06
61.07,2.44,1.54,0.07
59.62,2.68,2.06,0.07
61.31,2.17,1.32,0.06
60.1,3.23,1.55,0.06
59.23,3,1.75,0.07
59.69,2.14,1.19,0.06
63.05,1.7,0.87,0.06
61.18,2.08,1.17,0.06
61.03,2.37,1.23,0.05
62.58,1.59,0.85,0.04
62.34,2.21,1.26,0.05
62.09,2.16,1.44,0.06
60.18,3.26,2.1,0.07
62.14,1.98,1.22,0.06
61.19,2.37,1.19,0.05
59.94,2.82,1.38,0.04
61.45,2.24,0.95,0.03
61.45,2.04,0.95,0.03
61.21,2.98,1.22,0.03
61.65,2.05,1.33,0.03
60.11,3.5,1.72,0.04
59.11,6.17,1.99,0.04
60.33,3.45,1.38,0.06
60.07,2.88,1.62,0.06
60.35,2.59,1.46,0.06
61.81,2.05,1.19,0.06
60.8,2.58,1.34,0.06
60.11,2.37,1.61,0.05
56.31,3.67,2.77,0.05
60.62,3.16,1.19,0.06
60.93,4.49,0.86,0.04
60.15,3.63,1,0.04
62.03,2.9,0.96,0.04
58.7,3.71,1.19,0.04
61.68,2.99,0.82,0.04
60.98,2.32,1.25,0.07
61.22,2.41,1.28,0.06
60.41,2.4,1.33,0.06
60.65,2.55,1.37,0.06
59.67,2.82,1.57,0.07
60.96,2.15,1.22,0.05
60.36,2.61,1.43,0.06
61.6,2.44,1.23,0.06
60.18,2.55,1.5,0.07
58.75,2.88,1.86,0.07
62.92,1.68,0.89,0.06
61.86,1.68,0.89,0.05
61.57,2.25,1.01,0.05
58.7,3.9,1.89,0.05
60.32,2.9,1.25,0.05
62.39,2.36,1.05,0.05
60.44,2.75,1.35,0.06
58.71,4.01,1.95,0.06
59.91,4.74,1.28,0.05
59.65,2.48,1.32,0.05
58.5,2.47,1.91,0.1
57.79,2.53,1.98,0.1
58.29,2.39,1.82,0.11
58.75,2.11,1.79,0.1
56.33,3.02,2.8,0.09
59.62,2.21,1.3,0.08
58.95,2.44,2.04,0.08
58.42,2.68,1.93,0.08
58.98,2.51,1.55,0.05
56.38,4.22,3.97,0.07
59.19,2.19,1.96,0.07
60.43,2.26,1.49,0.08
58.39,2.66,2.23,0.1
58.96,2.46,2.36,0.07
59.98,2.02,1.48,0.05
59.82,2.13,1.91,0.05
59.96,1.97,1.84,0.06
60.63,2.05,1.35,0.06
57.73,2.78,2.57,0.05
62.12,1.34,1.13,0.04
59.28,1.6,1.48,0.04
62.52,1.02,0.7,0.03
62.6,0.95,0.75,0.03
60.63,2.26,1.2,0.03
60.47,2.05,1.26,0.03
60.84,1.99,0.82,0.03
58.34,2.78,1.22,0.02
61.25,2.48,0.87,0.02
62.18,2.34,1.48,0.11
61.73,2.2,1.14,0.11
60.7,2.05,1.27,0.1
59.56,2.44,1.74,0.11
60.44,2.21,1.07,0.08
60.41,2.32,1.28,0.08
59.92,2.9,1.51,0.08
59.85,2.55,1.59,0.07
59.38,3.11,1.91,0.07
59.89,2.34,1.33,0.07
61.02,2.27,1.27,0.09
63.77,1.48,0.79,0.06
61.55,2.06,1.19,0.06
59.99,2.29,1.24,0.07
59.23,3.3,1.62,0.08
63.09,1.61,0.94,0.06
61.66,2.23,1.4,0.06
62.94,1.7,1.01,0.05
60.98,2.67,1.5,0.06
63.35,1.82,1.06,0.06
58.95,6.1,1.29,0.04
57.3,7.65,1.49,0.03
59.41,2.99,1.53,0.03
59.99,3.24,1.79,0.03
59.16,3.79,1.62,0.04
59.58,3.68,1.46,0.03
58.83,5.31,1.26,0.05
60.51,3.47,1.19,0.03
60.34,5.04,1.31,0.04
59.21,3.35,1.96,0.1
61.28,2.38,1.05,0.08
61.21,2.87,1.17,0.07
60.4,2.47,1.43,0.07
60.04,2.6,1.57,0.07
60.3,2.6,1.55,0.06
60.8,2.25,1.57,0.06
61.76,2.04,1.19,0.06
60.87,2.52,1.43,0.06
58.85,3.35,2.04,0.06
61.15,2.43,1.26,0.07
62.74,1.57,0.82,0.06
61.26,2,1.06,0.05
60.23,2.76,1.46,0.05
62.84,1.41,0.81,0.04
61.34,2.38,1.49,0.06
62.46,1.83,1.27,0.06
61.23,2.27,1.5,0.05
61.21,3.23,1.14,0.05
61.07,3.07,1.32,0.06
61.93,2.29,1.3,0.05
60.35,3.02,1.49,0.04
59.69,2.62,1.14,0.03
60.64,3.05,1.37,0.03
60.07,2.59,1.35,0.06
60.83,2.54,1.35,0.06
57.26,4.15,2.95,0.08
59.08,2.54,1.26,0.06
62.19,1.78,0.86,0.05
60.6,2.43,1.17,0.06
61.71,2.02,1.21,0.06
62.8,1.69,0.91,0.06
63.18,1.89,0.95,0.06
64.05,1.52,0.78,0.06
61.85,2.41,1.21,0.07
62.73,1.74,0.92,0.07
62.49,1.43,0.69,0.04
61.31,1.87,1.05,0.04
63.03,1.82,0.9,0.04
63.61,1.61,0.8,0.03
62.35,1.85,0.9,0.03
62.31,1.97,0.99,0.03
59.62,4.24,1.22,0.03
61.33,2.15,1.39,0.09
61.93,2.77,1.13,0.11
59.18,3.04,1.66,0.09
60.34,2.33,1.34,0.07
59.61,2.77,1.75,0.08
61.61,1.88,1.2,0.07
59.68,2.87,1.61,0.07
58.76,3.06,1.69,0.07
62.09,2.28,1.09,0.06
61.94,1.78,0.82,0.06
62.3,2.05,1.1,0.06
58.39,3.14,1.65,0.06
62.67,1.6,0.93,0.05
60.59,2.45,1.42,0.06
63.35,1.82,0.92,0.05
59.44,4.92,1.16,0.06
60.64,2.6,1.43,0.06
61.65,1.92,1.2,0.06
60.31,3.01,1.8,0.07
61.3,2.01,1.28,0.06
61.41,1.91,1.35,0.06
61.52,1.95,1.41,0.06
60.19,2.45,1.56,0.06
56.94,4.02,2.61,0.07
62.46,1.97,0.99,0.05
62.64,1.76,0.93,0.05
62.04,1.85,0.92,0.05
60.58,2.45,1.21,0.05
60.96,2.93,1.24,0.05
62.54,2.96,1.05,0.05
62.05,2.91,1.02,0.04
60.13,5.64,1,0.04
58.05,3.88,3.24,0.12
58.05,3.88,3.24,0.12
61.28,2.34,1.22,0.11
61.28,2.34,1.22,0.11
59.86,2.48,1.41,0.07
59.86,2.48,1.41,0.07
59.43,3.43,1.68,0.08
59.43,3.43,1.68,0.08
61.21,2.61,1.37,0.07
61.21,2.61,1.37,0.07
61.05,2.41,1.38,0.07
61.05,2.41,1.38,0.07
62.25,1.82,1.19,0.06
62.25,1.82,1.19,0.06
62,2.43,1.11,0.05
62,2.43,1.11,0.05
59.25,4,1.14,0.05
59.25,4,1.14,0.05
60.05,2.61,1.4,0.04
60.05,2.61,1.4,0.04
60.28,3.49,1.25,0.03
60.28,3.49,1.25,0.03
60.14,3.92,1.18,0.03
60.14,3.92,1.18,0.03
60,4.48,1.41,0.04
60,4.48,1.41,0.04
62.33,2.65,1.14,0.09
61.47,2.23,0.88,0.09
59.76,2.31,1.3,0.1
59.69,2.56,1.25,0.09
59.87,2.34,1.18,0.07
59.66,2.38,1.24,0.07
60.11,2.06,1.12,0.06
59.34,2.54,1.22,0.16
61.38,1.99,0.82,0.15
62.13,1.78,0.85,0.11
61,1.95,0.9,0.09
60.78,2.55,0.94,0.07
60.67,2.19,1.11,0.06
62.03,2.29,0.71,0.04
60.37,3.7,0.89,0.04
59.83,3.38,0.96,0.05
60.66,2.79,0.74,0.03
59.49,3.2,1.13,0.03
57.5,4.15,1.5,0.03
59.4,3.5,1.45,0.04
60.92,2.71,0.95,0.03
60.97,2.54,1.02,0.03
61.12,2.37,1.15,0.07
60.66,2.57,1.38,0.06
60.58,2.46,1.36,0.06
59.76,2.75,1.67,0.06
57.02,3.68,2.1,0.06
61.48,1.89,1.09,0.05
59.18,3.26,1.62,0.07
60.82,2.49,1.38,0.06
60.13,2.96,1.38,0.06
57.32,3.58,1.69,0.08
58.11,3.3,1.79,0.08
62.65,1.73,0.86,0.06
61.38,2.1,0.92,0.05
60.22,3.08,1.28,0.06
61.76,2.44,1.19,0.05
62.57,2.07,1.17,0.06
62.98,2.07,1.2,0.06
61.11,2.53,1.74,0.07
61.83,2.63,1.16,0.05
60.76,2.87,1.34,0.05
61.29,2.18,1.43,0.11
61.29,2.18,1.43,0.11
60.2,2.55,1.62,0.09
60.2,2.55,1.62,0.09
60.2,2.3,1.48,0.07
60.2,2.3,1.48,0.07
59.62,2.95,1.81,0.08
59.62,2.95,1.81,0.08
63.2,1.84,0.97,0.06
63.2,1.84,0.97,0.06
61.71,2.03,1.17,0.07
61.71,2.03,1.17,0.07
61.14,3.1,1.42,0.06
61.14,3.1,1.42,0.06
60.94,3.99,1.06,0.05
60.94,3.99,1.06,0.05
60.47,3.04,1.33,0.06
60.47,3.04,1.33,0.06
59.63,4.34,1.53,0.04
59.63,4.34,1.53,0.04
58.62,4.27,1.26,0.03
58.62,4.27,1.26,0.03
61.92,2.04,1.1,0.08
60.96,2.19,1.2,0.07
60.16,2.47,1.52,0.08
60.25,2.46,1.38,0.09
58.96,3.2,1.91,0.08
60.66,2.26,1.28,0.07
59.48,3.11,1.67,0.06
61.75,2.02,1.16,0.06
59.79,2.81,1.64,0.06
56.55,3.87,2.6,0.07
59.99,2.94,1.64,0.08
63.45,1.66,0.79,0.05
61.5,2.12,1.1,0.05
60.13,3.18,1.55,0.06
62.41,1.81,1.11,0.06
60.75,2.84,1.44,0.05
62.13,2.22,1.3,0.05
61.09,2.82,1.39,0.04
61.14,2.82,1.26,0.05
60.31,4.24,0.97,0.04
58.35,4.09,3.17,0.1
60.64,2.17,1.35,0.1
60.85,2.43,1.26,0.09
60.3,2.4,1.34,0.07
60.08,2.3,1.48,0.07
59.66,2.62,1.54,0.07
60.8,2.17,1.29,0.07
61.1,2.31,1.41,0.06
58.76,3.16,2.08,0.07
59.44,2.84,1.64,0.08
62.32,1.9,1.02,0.07
61.37,2.04,1.07,0.07
61.18,2.18,1.19,0.09
62.57,1.74,0.94,0.05
62.34,2.15,1.19,0.06
61.24,2.05,1.15,0.05
62.54,1.82,0.83,0.04
60.18,3.09,1.24,0.06
58.21,4.3,1.14,0.04
60.31,4.04,1.42,0.05
55.94,9.4,0.97,0.04
51.05,12.12,1.28,0.03
61.07,3.5,0.85,0.03
61.5,2.85,1.17,0.03
60.1,4.39,1.23,0.03
62.35,3.01,1.1,0.02
60.86,2.67,1.33,0.07
60.25,2.71,1.54,0.07
60.82,2.28,1.36,0.07
60.93,2.23,1.55,0.07
60.31,2.33,1.51,0.07
61.36,1.92,1.34,0.06
60.56,2.05,1.53,0.06
59.53,2.73,1.64,0.06
60.12,2.82,1.45,0.07
63.04,1.82,0.94,0.06
62.37,1.75,0.96,0.05
61.31,2.41,1.16,0.05
62.46,2.16,1.11,0.05
62.55,2.37,1.11,0.05
62.63,1.9,0.93,0.06
62.2,2.39,1.11,0.05
58.96,4,2,0.05
59.91,2.78,1.35,0.05
58.58,2.73,1.32,0.04
60.72,2.83,2.22,0.09
61.32,2.59,1.54,0.08
60.64,2.65,1.63,0.08
60.59,2.17,1.28,0.07
60.06,2.61,1.49,0.06
59.88,2.37,1.54,0.06
60.73,2.4,1.64,0.07
58.54,3.16,1.65,0.07
62.04,2.23,1.11,0.07
62.18,1.99,1.15,0.08
61.64,2.06,1.14,0.07
61.88,3.89,1.72,0.11
63.52,1.57,0.93,0.06
61.42,2.17,1.28,0.06
62.37,1.96,0.99,0.05
59.71,3.68,1.29,0.05
60.54,3.37,1.45,0.06
59.12,4.2,1.3,0.05
59.37,2.92,1.2,0.04
62.44,1.82,1.17,0.04
61.57,2.12,1.38,0.03
60.75,2.74,1.2,0.03
60.87,2.9,1.23,0.04
60.16,3.36,1.52,0.04
60.27,4.1,1.54,0.03
60.81,2.19,1.4,0.14
60.21,2.21,0.98,0.1
60.19,2.1,0.83,0.09
59.59,2.29,1.4,0.1
59.12,2.47,1.54,0.1
59.47,2.45,1.43,0.09
58.98,2.71,1.64,0.08
59.46,2.82,1.81,0.1
58.72,3.05,1.71,0.11
62.59,1.78,0.89,0.06
62.2,1.82,0.93,0.06
61.2,2.19,1.31,0.08
60.91,2.06,1.16,0.06
61.47,2.03,1.09,0.06
61.65,1.98,1.27,0.07
61.51,2.12,1.6,0.07
61.21,2.29,1.59,0.06
60.17,2.58,1.49,0.06
60.53,2.24,1.29,0.05
60.51,2.76,1.38,0.04
61.94,2.27,1.24,0.03
61.54,2.75,1.41,0.03
61.18,3.15,1.41,0.03
59.76,3.66,1.56,0.04
60.37,2.79,1.78,0.04
61.34,2.84,1.1,0.03
60.01,3.82,1.9,0.02
61.02,2.34,1.23,0.08
60.29,2.63,1.43,0.07
60.31,2.61,1.5,0.07
60.6,2.2,1.32,0.06
60.04,2.72,1.77,0.07
60.67,2.3,1.57,0.06
60.97,2.49,1.81,0.06
61.49,2.03,1.24,0.06
60.55,2.48,1.47,0.07
60.1,2.96,1.84,0.07
60.3,2.81,1.45,0.07
63.32,1.89,0.98,0.06
62.77,1.78,1.09,0.06
61.3,2.36,1.31,0.06
60.75,2.6,1.34,0.06
62.04,2.21,1.14,0.06
62.14,2.27,1.32,0.06
62.82,1.82,1.08,0.05
58.29,2.98,2.06,0.06
60.7,2.14,1.35,0.06
60.73,2.22,1.43,0.05
61.56,2.05,1.3,0.04
59.62,2.07,1.39,0.11
58.94,2.6,1.81,0.11
58.79,2.5,1.6,0.11
59.53,2.26,1.26,0.12
61.47,2.14,1.45,0.1
62.25,1.91,1.58,0.1
60.87,1.57,1.24,0.1
61.22,1.85,1.6,0.09
60.44,1.57,1.2,0.06
62.43,1.08,0.53,0.04
62.98,1.09,0.5,0.03
61.51,1.41,0.91,0.04
60.92,1.88,1.15,0.05
59.74,1.79,1.29,0.05
60.14,2.12,1.61,0.05
62.72,1.35,0.96,0.04
62.57,1.45,1.17,0.05
63.07,1.33,0.92,0.04
61.38,1.5,1.1,0.04
61.51,1.62,1.05,0.04
61.46,1.76,1.06,0.03
61.39,1.76,1.06,0.04
62.39,1.36,0.79,0.02
61.57,1.65,1.18,0.03
59.76,3.08,2.38,0.03
60.4,2.65,2,0.03
61.64,2.25,1.71,0.03
61.26,2.56,1.73,0.03
62.74,2.09,1.47,0.02
60.51,2.67,2.26,0.03
61.21,2.75,1.63,0.11
61.21,2.75,1.63,0.11
60.13,2.53,1.45,0.08
60.13,2.53,1.45,0.08
60.7,2.43,1.33,0.07
60.7,2.43,1.33,0.07
60.07,2.48,1.35,0.06
60.07,2.48,1.35,0.06
62.84,1.62,0.8,0.05
62.84,1.62,0.8,0.05
61,2.21,1.17,0.05
61,2.21,1.17,0.05
61.84,1.86,1,0.04
61.84,1.86,1,0.04
60.82,2.77,1.55,0.05
60.82,2.77,1.55,0.05
58.32,6.25,1.21,0.04
58.32,6.25,1.21,0.04
59.39,4.82,1.17,0.03
59.39,4.82,1.17,0.03
59.93,4.39,1.17,0.03
59.93,4.39,1.17,0.03
60.92,2.63,1.23,0.03
60.92,2.63,1.23,0.03
60.59,3.58,2.55,0.14
58.61,3.74,2.53,0.09
61.69,2.01,1.34,0.08
61.42,2.25,1.14,0.08
60.05,2.88,1.49,0.08
59.56,2.77,1.44,0.07
59.61,2.84,1.57,0.07
58.75,3.44,1.48,0.07
59.49,3.2,1.61,0.06
57.14,4.27,2.95,0.07
57.37,4.03,1.85,0.08
60.49,2.68,1.42,0.08
64.49,1.34,0.62,0.04
62.17,1.99,1.1,0.05
60.97,2.01,1.09,0.05
61.67,1.99,0.83,0.04
61.13,2.43,1.28,0.05
62.37,3.07,0.82,0.04
60.54,3,1.92,0.1
61.33,2.67,1.62,0.09
59.34,2.89,1.6,0.09
60.01,2.36,1.42,0.07
59.75,2.2,1.41,0.07
60.93,2.16,1.44,0.08
58.22,3.27,2.22,0.11
58.19,3.23,1.53,0.28
59.24,2.47,1.33,0.22
62.33,1.99,0.98,0.15
62.2,2.03,1.03,0.08
63.51,1.89,1.14,0.07
59.73,2.78,1.64,0.11
62.76,1.62,1.1,0.05
60.93,2.33,1.25,0.05
